City,locality_clean,restaurant_count,avg_rating,avg_price_range,cuisines
Abu Dhabi,"Abu Dhabi Mall, Tourist Club Area  (Al Zahiyah)",2,4.6,4.0,American
Abu Dhabi,Al Dhafrah,2,4.35,2.5,"Middle Eastern, Arabian, Italian, Pizza, Turkish"
Abu Dhabi,Al Mushrif,1,4.2,3.0,"Fast Food, Burger"
Abu Dhabi,"Al Wahda Mall, Al Wahda",2,4.35,4.0,"Asian, Italian, Pizza"
Abu Dhabi,"Crowne Plaza Abu Dhabi, Al Markaziya",1,4.4,4.0,"Vietnamese, Indonesian, Chinese, Thai, Japanese"
Abu Dhabi,"Dalma Mall, Mussafah Sanaiya",1,4.0,3.0,"North Indian, Biryani, Mughlai, Indian"
Abu Dhabi,Madinat Zayed,1,3.6,2.0,"South Indian, Indian"
Abu Dhabi,"Madinat Zayed Shopping Centre, Madinat Zayed ",1,4.5,3.0,"Asian, Filipino, Japanese"
Abu Dhabi,"Mushrif Mall, Al Mushrif",1,4.0,4.0,"Mexican, American, Seafood"
Abu Dhabi,Mussafah Sanaiya,1,4.0,2.0,"Pakistani, Hyderabadi, Indian, Afghani"
Abu Dhabi,Najda,3,4.1,2.67,"Indian, Middle Eastern, Arabian, Chinese, North Indian, Lebanese"
Abu Dhabi,"Venetian Village, Al Maqtaa",1,4.9,4.0,"North Indian, Indian"
Abu Dhabi,"World Trade Center Mall, Al Markaziya",2,4.45,4.0,"Chinese, Indian"
Abu Dhabi,"Yas Mall, Yas Island",1,4.6,4.0,"American, Desserts"
Agra,Agra Cantt,3,3.67,2.33,"North Indian, Mughlai"
Agra,Civil Lines,2,4.1,2.5,"North Indian, Chinese, Mughlai, Rajasthani"
Agra,"Courtyard by Marriott Agra, Tajganj",1,4.0,4.0,"North Indian, European"
Agra,"ITC Mughal, Tajganj",2,4.15,4.0,"North Indian, Mughlai"
Agra,Khandari,1,3.6,3.0,"Mughlai, Gujarati, Rajasthani"
Agra,"Radisson Blu, Tajganj",2,3.85,2.5,"North Indian, Chinese, Mughlai, Continental"
Agra,Rakabganj,1,4.1,2.0,"Desserts, South Indian"
Agra,Tajganj,8,4.05,2.38,"Cafe, Mughlai, Mexican, Italian, Chinese, North Indian, Pizza, Fast Food, Continental"
Ahmedabad,Ambavadi,1,4.2,3.0,"Mexican, Italian, Chinese, North Indian, Mediterranean, Thai"
Ahmedabad,Ashram Road,1,3.7,4.0,"North Indian, Chinese, Continental"
Ahmedabad,Bodakdev,5,4.34,2.4,"Mexican, Cafe, Italian, Beverages, Ice Cream, North Indian, Pizza, Desserts, Continental"
Ahmedabad,C G Road,1,3.8,3.0,"Cafe, Mexican, Italian, North Indian, Continental"
Ahmedabad,"Courtyard By Marriott, Satellite",1,3.6,3.0,"Asian, North Indian, South Indian, Continental"
Ahmedabad,Ellis Bridge,2,4.5,2.0,"South Indian, Ice Cream, Street Food, Desserts, Fast Food"
Ahmedabad,Ghatlodia,1,4.3,3.0,"North Indian, Chinese, Continental"
Ahmedabad,Gurukul,2,4.05,2.0,"Italian, Chinese, Sandwich, North Indian, Desserts, Fast Food, Continental"
Ahmedabad,Navrangpura,2,4.2,2.0,"Cafe, Italian, Pizza, Desserts, Beverages"
Ahmedabad,Prahlad Nagar,1,4.5,3.0,"Italian, Burger, Continental, North Indian, Healthy Food, Mediterranean, Beverages"
Ahmedabad,Thaltej,1,4.1,3.0,"Italian, Chinese, Continental"
Ahmedabad,"The Fern, Sola",1,4.1,3.0,"Asian, North Indian, South Indian, Italian"
Ahmedabad,Vastrapur,2,3.95,2.5,"Cafe, Armenian, American, Fast Food, Continental"
Albany,Albany,19,3.56,1.74,"Mexican, Vegetarian, Asian, Steak, Chinese, Burger, BBQ, Sandwich, Tapas, Sushi, Coffee and Tea, Italian, Pizza, Seafood, American, Bar Food, Fast Food, Japanese"
Albany,Sylvester,1,3.4,1.0,"American, Breakfast, Diner"
Allahabad,Civil Lines,18,3.39,2.67,"Cafe, Mughlai, Italian, South Indian, Chinese, Desserts, North Indian, Street Food, Salad, Healthy Food, Pizza, American, Fast Food, Continental"
Allahabad,Tagore Town,1,3.5,2.0,"North Indian, South Indian, Chinese, Continental"
Allahabad,"Vinayak City Centre Mall, Civil Lines",1,3.3,3.0,"Mughlai, Chinese, North Indian"
Amritsar,Basant Nagar,2,3.65,1.5,"North Indian, Chinese"
Amritsar,Hathi Gate,1,4.0,1.0,Beverages
Amritsar,INA Colony,3,3.5,1.67,"North Indian, Mughlai, Street Food"
Amritsar,Ranjit Avenue,5,3.56,2.0,"Cafe, Mughlai, Italian, Chinese, North Indian, Street Food, Fast Food, Bakery"
Amritsar,Town Hall,7,3.77,1.86,"South Indian, Chinese, North Indian, Mithai, Fast Food"
Amritsar,White Avenue,3,3.8,2.0,"North Indian, Fast Food"
Ankara,"Armada AVM, S�_���_t�_z�_, Yenimahalle",1,4.2,3.0,Cafe
Ankara,Balgat,2,4.4,3.0,"Kebab, Turkish Pizza"
Ankara,Dikmen,1,4.5,3.0,Kebab
Ankara,Emek,1,4.4,3.0,"Izgara, Kebab"
Ankara,Gazi Osman Pa��a,3,4.47,3.67,"Mexican, Italian, Steak, World Cuisine"
Ankara,Kavakl۱dere,1,4.3,3.0,"Kebab, Turkish Pizza"
Ankara,"Kentpark AVM, ��niversiteler, �ankaya",1,4.2,3.0,Cafe
Ankara,K۱z۱lay,2,4.0,3.0,"Cafe, Kebab, Turkish Pizza"
Ankara,K�_�_�_k Esat,2,4.5,2.0,"D�_ner, Kebab, Turkish Pizza"
Ankara,Macunk�_y,1,4.3,2.0,Turkish Pizza
Ankara,Maltepe,1,4.4,3.0,"Desserts, Kebab, Turkish Pizza"
Ankara,Y۱ld۱zevler,1,4.7,2.0,Pizza
Ankara,�ayyolu,1,4.3,2.0,"Cafe, Desserts"
Ankara,�ukurambar,1,3.4,2.0,"Coffee and Tea, Patisserie"
Ankara,��mitk�_y,1,4.2,3.0,"Desserts, Kebab, Turkish Pizza"
Armidale,Armidale,1,3.5,2.0,"Steak, Bar Food"
Athens,Athens,20,4.2,1.6,"Mexican, Burger, Sandwich, Korean, Southwestern, Argentine, Desserts, American, Latin American, Italian, Sushi, Breakfast, Vegetarian, Asian, Southern, Pizza, Spanish, International, Bar Food, Japanese"
Auckland,Balmoral,1,4.3,2.0,Thai
Auckland,Britomart,3,4.57,2.33,"Desserts, American, Ice Cream"
Auckland,Federal Street,2,4.7,3.5,"Cafe, Kiwi, American, Seafood"
Auckland,Fort Street,1,4.9,1.0,Desserts
Auckland,Henderson,1,4.5,3.0,Cafe
Auckland,Lorne Street,1,4.2,4.0,"Asian Fusion, Cafe"
Auckland,Mission Bay,1,2.3,4.0,European
Auckland,Mt Albert,1,4.4,3.0,"Street Food, Taiwanese"
Auckland,Mt Eden,3,4.17,3.0,"Cafe, Kiwi, Chinese, European"
Auckland,Newmarket,1,3.5,4.0,"Asian Fusion, Pub Food, Filipino, Fusion, Malaysian, Asian, Thai"
Auckland,Parnell,1,4.0,3.0,Cafe
Auckland,Penrose,1,4.5,3.0,"Asian, Sushi, Seafood"
Auckland,"Sky City Metro, Auckland CBD",1,4.0,3.0,Malaysian
Auckland,"The Langham Hotel, Auckland CBD",1,4.7,4.0,European
Auckland,Wynyard Quarter,1,4.6,4.0,Italian
Augusta,Augusta,15,4.14,2.27,"Mexican, Tapas, Sandwich, Burger, Seafood, Caribbean, Chinese, Southwestern, BBQ, Desserts, Steak, French, Italian, Sushi, Breakfast, Vegetarian, Indian, Southern, Pizza, American, International, Bar Food"
Augusta,Evans,4,4.08,2.0,"German, Vietnamese, Burger, Seafood, Thai"
